,date_alias,date_name
0, 01.,01
1,перв,01
2,втор,02
3,трет,03
4,четверт,04
5,пят,05
6,шест,06
7,седьм,07
8,восьм,08
9,девят,09
10,десят,10
11,одиннадцат,11
12,двенадцат,12
13,тринадцат,13
14,четырнадцат,14
15,пятнадцат,15
16,шестнадцат,16
17,семнадцат,17
18,восемнадцат,18
19,девятнадцат,19
20,двадцат,20
21,двадцать перв,21
22,двадцать втор,22
23,двадцать трет,23
24,двадцать четверт,24
25,двадцать пят,25
26,двадцать шест,26
27,двадцать седьм,27
28,двадцать восьм,28
29,двадцать девят,29
30,тридцат,30
31,тридцать перв,31
32, 1.,01
33, 2.,02
34, 3.,03
35, 4.,04
36, 5.,05
37, 6.,06
38, 7.,07
39, 8.,08
40, 9.,09
41, 10.,10
42, 11.,11
43, 12.,12
44, 13.,13
45, 14.,14
46, 15.,15
47, 16.,16
48, 17.,17
49, 18.,18
50, 19.,19
51, 20.,20
52, 21.,21
53, 22.,22
54, 23.,23
55, 24.,24
56, 25.,25
57, 26.,26
58, 27.,27
59, 28.,28
60, 29.,29
61, 30.,30
62, 31.,31
63, 02.,02
64, 03.,03
65, 04.,04
66, 05.,05
67, 06.,06
68, 07.,07
69, 08.,08
70, 09.,09
71,*-+1.,01
72,*-+2.,02
73,*-+3.,03
74,*-+4.,04
75,*-+5.,05
76,*-+6.,06
77,*-+7.,07
78,*-+8.,08
79,*-+9.,09
80,*-+10.,10
81,*-+11.,11
82,*-+12.,12
83,*-+13.,13
84,*-+14.,14
85,*-+15.,15
86,*-+16.,16
87,*-+17.,17
88,*-+18.,18
89,*-+19.,19
90,*-+20.,20
91,*-+21.,21
92,*-+22.,22
93,*-+23.,23
94,*-+24.,24
95,*-+25.,25
96,*-+26.,26
97,*-+27.,27
98,*-+28.,28
99,*-+29.,29
100,*-+30.,30
101,*-+31.,31
102,*-+01.,01
103,*-+02.,02
104,*-+03.,03
105,*-+04.,04
106,*-+05.,05
107,*-+06.,06
108,*-+07.,07
109,*-+08.,08
110,*-+09.,09
